"","gene","name","Superclass_x","Class_x","Subclass_x"
"50","RVBD0097","","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"51","RVBD0098","","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"52","RVBD0099","fadD10","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"53","RVBD0100","","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"54","RVBD0101","nrp","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"55","RVBD0102","RVBD0102","Energy","Respiration","Biogenesis_of_respiratory_chain_components"
"56","RVBD0102","RVBD0102","Membrane Transport","Membrane Transport","Cation_transporters"
"57","RVBD0103c","ctpB","Membrane Transport","Membrane Transport","Cation_transporters"
"58","RVBD0105c","rpmB","Protein Processing","Protein Synthesis","Ribosome_biogenesis"
"59","RVBD0112","gca","Metabolism","Carbohydrates","Monosaccharides"
"60","RVBD0119","fadD7","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"61","RVBD0120c","fusA2","Protein Processing","Protein Synthesis","Translation"
"62","RVBD0131c","fadE1","Miscellaneous","Miscellaneous",""
"63","RVBD0137c","msrA","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_processing_and_modification"
"64","RVBD0145","","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_targeting,_sorting,_translocation"
"65","RVBD0146","","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_targeting,_sorting,_translocation"
"66","RVBD0147","","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"67","RVBD0147","","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids"
"68","RVBD0149","","Energy","Respiration",""
"69","RVBD0154c","fadE2","Miscellaneous","Miscellaneous",""
"70","RVBD0166","fadD5","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"71","RVBD0167","yrbE1A","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"72","RVBD0168","yrbE1B","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"73","RVBD0169","mce1A","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"74","RVBD0170","mce1B","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"75","RVBD0171","mce1C","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"76","RVBD0172","mce1D","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"77","RVBD0173","lprK","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"78","RVBD0174","mce1F","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"79","RVBD0175","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"80","RVBD0176","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"81","RVBD0177","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"82","RVBD0178","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"83","RVBD0179c","lprO","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"84","RVBD0182c","sigG","Cellular Processes","Cell Cycle, Cell Division and Death",""
"85","RVBD0187","","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_targeting,_sorting,_translocation"
"86","RVBD0189c","ilvD","Metabolism","Amino Acids and Derivatives","Branched-chain_amino_acids"
"87","RVBD0202c","mmpL11","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"88","RVBD0202c","mmpL11","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"89","RVBD0203","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"90","RVBD0204c","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"91","RVBD0205","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"92","RVBD0206c","mmpL3","","","Fatty_acids"
"93","RVBD0206c","mmpL3","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"94","RVBD0206c","mmpL3","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"95","RVBD0207c","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"96","RVBD0211","pckA","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"97","RVBD0212c","nadR","Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD_and_NADP"
"98","RVBD0213c","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD_and_NADP"
"99","RVBD0214","fadD4","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"100","RVBD0215c","fadE3","Miscellaneous","Miscellaneous",""
"101","RVBD0221","","","Fatty Acids, Lipids, and Isoprenoids","Unsaturated_fatty_acids"
"102","RVBD0223c","","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"103","RVBD0223c","","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids"
"104","RVBD0229c","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"105","RVBD0231","fadE4","Miscellaneous","Miscellaneous",""
"106","RVBD0234c","gabD1","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"107","RVBD0236c","aftD","","","Cell_wall_of_Mycobacteria"
"108","RVBD0240","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"109","RVBD0241c","","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"110","RVBD0242c","fabG","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"111","RVBD0243","fadA2","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin"
"112","RVBD0243","fadA2","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"113","RVBD0244c","fadE5","Miscellaneous","Miscellaneous",""
"114","RVBD0247c","","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"115","RVBD0247c","","Energy","Respiration","Electron_donating_reactions"
"116","RVBD0248c","sdhA","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"117","RVBD0248c","sdhA","Energy","Respiration","Electron_donating_reactions"
"118","RVBD0254c","cobU","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"119","RVBD0255c","cobQ1","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"120","RVBD0259c","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"121","RVBD0260c","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"122","RVBD0262c","aac","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance_to_antibiotics_and_toxic_compounds"
"123","RVBD0269c","","DNA Processing","DNA Processing","DNA_repair"
"124","RVBD0270","fadD2","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin"
"125","RVBD0270","fadD2","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"126","RVBD0271c","fadE6","Miscellaneous","Miscellaneous",""
"127","RVBD0277c","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"128","RVBD0281","","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_targeting,_sorting,_translocation"
"129","RVBD0282","eccA3","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"130","RVBD0283","eccB3","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"131","RVBD0284","eccC3","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"132","RVBD0285","PE5","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"133","RVBD0285","PE5","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"134","RVBD0286","PPE4","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"135","RVBD0287","esxG","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"136","RVBD0288","esxH","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"137","RVBD0289","espG3","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"138","RVBD0290","eccD3","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"139","RVBD0291","mycP3","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"140","RVBD0292","eccE3","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"141","RVBD0298","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"142","RVBD0299","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"143","RVBD0301","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"144","RVBD0306","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"145","RVBD0312","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"146","RVBD0317c","glpQ2","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance_to_antibiotics_and_toxic_compounds"
"147","RVBD0324","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance_to_antibiotics_and_toxic_compounds"
"148","RVBD0325","","DNA Processing","DNA Processing","DNA_repair"
"149","RVBD0326","","DNA Processing","DNA Processing","DNA_repair"
"150","RVBD0334","rmlA","Cell Envelope","Cell Envelope, Capsule and Slime layer","Capsule_and_Slime_layer"
"151","RVBD0337c","aspC","","","Alanine,_serine,_and_glycine"
"152","RVBD0339c","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"153","RVBD0340","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"154","RVBD0341","iniB","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"155","RVBD0342","iniA","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"156","RVBD0343","iniC","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"157","RVBD0345","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"158","RVBD0345","","Metabolism","Cofactors, Vitamins, Prosthetic Groups",""
"159","RVBD0350","dnaK","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_folding"
"160","RVBD0350","dnaK","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response:_Heat/cold_shock"
"161","RVBD0351","grpE","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_folding"
"162","RVBD0351","grpE","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response:_Heat/cold_shock"
"163","RVBD0352","dnaJ1","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_folding"
"164","RVBD0352","dnaJ1","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response:_Heat/cold_shock"
"165","RVBD0353","hspR","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_folding"
"166","RVBD0353","hspR","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response:_Heat/cold_shock"
"167","RVBD0357c","purA","Metabolism","Amino Acids and Derivatives","Histidine_Metabolism"
"168","RVBD0357c","purA","Metabolism","Nucleosides and Nucleotides","Purines"
"169","RVBD0362","mgtE","Membrane Transport","Membrane Transport","Cation_transporters"
"170","RVBD0362","mgtE","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_targeting,_sorting,_translocation"
"171","RVBD0363c","fba","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"172","RVBD0371c","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"173","RVBD0371c","","Metabolism","Cofactors, Vitamins, Prosthetic Groups",""
"174","RVBD0382c","pyrE","Metabolism","Nucleosides and Nucleotides","Pyrimidines"
"175","RVBD0384c","clpB","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_folding"
"176","RVBD0389","purT","Metabolism","Nucleosides and Nucleotides","Purines"
"177","RVBD0390","","Metabolism","Amino Acids and Derivatives","Lysine,_threonine,_methionine,_and_cysteine"
"178","RVBD0400c","fadE7","Miscellaneous","Miscellaneous",""
"179","RVBD0402c","mmpL1","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"180","RVBD0403c","mmpS1","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"181","RVBD0405","pks6","Metabolism","Iron acquisition and metabolism","Siderophores"
"182","RVBD0407","fgd1","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Coenzyme_F420"
"183","RVBD0408","pta","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"184","RVBD0408","pta","Energy","Energy and Precursor Metabolites Generation","Fermentation"
"185","RVBD0409","ackA","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"186","RVBD0409","ackA","Energy","Energy and Precursor Metabolites Generation","Fermentation"
"187","RVBD0415","thiO","","","Thiamin"
"188","RVBD0417","thiG","","","Thiamin"
"189","RVBD0423c","thiC","","","Thiamin"
"190","RVBD0427c","xthA","DNA Processing","DNA Processing","DNA_repair"
"191","RVBD0429c","def","Protein Processing","Protein Synthesis","Translation"
"192","RVBD0432","sodC","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response"
"193","RVBD0435c","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"194","RVBD0436c","pssA","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids"
"195","RVBD0437c","psd","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids"
"196","RVBD0438c","moeA2","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"197","RVBD0440","groEL2","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_folding"
"198","RVBD0446c","","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"199","RVBD0450c","mmpL4","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"200","RVBD0451c","mmpS4","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"201","RVBD0456A","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"202","RVBD0458","","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"203","RVBD0458","","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids"
"204","RVBD0462","lpdC","Metabolism","Amino Acids and Derivatives","Alanine,_serine,_and_glycine"
"205","RVBD0462","lpdC","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"206","RVBD0462","lpdC","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Lipoic_acid"
"207","RVBD0467","icl","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"208","RVBD0469","umaA","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"209","RVBD0470c","pcaA","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"210","RVBD0482","murB","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Cell_wall_of_Mycobacteria"
"211","RVBD0483","lprQ","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"212","RVBD0486","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response"
"213","RVBD0487","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response"
"214","RVBD0489","gpm1","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"215","RVBD0490","senX3","Metabolism","Phosphate Metabolism",""
"216","RVBD0491","regX3","Metabolism","Phosphate Metabolism",""
"217","RVBD0499","","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"218","RVBD0500","proC","Metabolism","Amino Acids and Derivatives","Proline_and_4-hydroxyproline"
"219","RVBD0501","galE2","Metabolism","Carbohydrates","Di-_and_oligosaccharides"
"220","RVBD0503c","cmaA2","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
"221","RVBD0505c","serB1","Metabolism","Amino Acids and Derivatives","Alanine,_serine,_and_glycine"
"222","RVBD0506","mmpS2","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"223","RVBD0507","mmpL2","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"224","RVBD0509","hemA","Energy","Respiration","Biogenesis_of_respiratory_chain_components"
"225","RVBD0509","hemA","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"226","RVBD0510","hemC","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"227","RVBD0511","hemD","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"228","RVBD0512","hemB","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"229","RVBD0520","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response:_Osmotic_stress"
"230","RVBD0521","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response:_Osmotic_stress"
"231","RVBD0524","hemL","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"232","RVBD0526","RVBD0526","Energy","Respiration","Biogenesis_of_respiratory_chain_components"
"233","RVBD0527","ccdA","Energy","Respiration","Biogenesis_of_respiratory_chain_components"
"234","RVBD0527","ccdA","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_folding"
"235","RVBD0528","RVBD0528","Energy","Respiration","Biogenesis_of_respiratory_chain_components"
"236","RVBD0529","ccsA","Energy","Respiration","Biogenesis_of_respiratory_chain_components"
"237","RVBD0533c","fabH","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"238","RVBD0534c","menA","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Quinone_cofactors"
"239","RVBD0536","galE3","Metabolism","Carbohydrates","Di-_and_oligosaccharides"
"240","RVBD0542c","menE","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Quinone_cofactors"
"241","RVBD0548c","menB","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Quinone_cofactors"
"242","RVBD0549c","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"243","RVBD0550c","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"244","RVBD0551c","fadD8","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin"
"245","RVBD0551c","fadD8","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"246","RVBD0553","menC","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Quinone_cofactors"
"247","RVBD0554","bpoC","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Quinone_cofactors"
"248","RVBD0555","menD","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Quinone_cofactors"
"249","RVBD0558","menH","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Quinone_cofactors"
"250","RVBD0564c","gpsA","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids"
"251","RVBD0567","","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_targeting,_sorting,_translocation"
"252","RVBD0570","nrdZ","Metabolism","Nucleosides and Nucleotides",""
"253","RVBD0573c","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD_and_NADP"
"254","RVBD0582","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"255","RVBD0587","yrbE2A","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"256","RVBD0588","yrbE2B","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"257","RVBD0589","mce2A","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"258","RVBD0590","mce2B","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"259","RVBD0590A","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"260","RVBD0591","mce2C","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"261","RVBD0592","mce2D","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"262","RVBD0593","lprL","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"263","RVBD0594","mce2F","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"264","RVBD0598c","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"265","RVBD0609","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"266","RVBD0617","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"267","RVBD0618","galTa","Metabolism","Carbohydrates","Di-_and_oligosaccharides"
"268","RVBD0619","galTb","Metabolism","Carbohydrates","Di-_and_oligosaccharides"
"269","RVBD0620","galK","Metabolism","Carbohydrates","Di-_and_oligosaccharides"
"270","RVBD0624","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"271","RVBD0629c","recD","DNA Processing","DNA Processing","DNA_repair"
"272","RVBD0630c","recB","DNA Processing","DNA Processing","DNA_repair"
"273","RVBD0631c","recC","DNA Processing","DNA Processing","DNA_repair"
"274","RVBD0634B","rpmG2","Protein Processing","Protein Synthesis","Ribosome_biogenesis"
"275","RVBD0635","hadA","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"276","RVBD0636","hadB","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"277","RVBD0637","","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"278","RVBD0638","secE1","","","Cell_wall_of_Mycobacteria"
"279","RVBD0639","nusG","","","Transcription"
"280","RVBD0640","rplK","Protein Processing","Protein Synthesis","Ribosome_biogenesis"
"281","RVBD0641","rplA","Protein Processing","Protein Synthesis","Ribosome_biogenesis"
"282","RVBD0642c","mmaA4","Cell Envelope","Cell Envelope, Capsule and Slime layer","Cell_wall_of_Mycobacteria"
