"","start","end","strand","geneID","start_norm","end_norm"
"7812",4663289,4664833,"+","RVBD0018c_as",21637,23181
"20",4664833,4664922,"+","RVBD0018c-RVBD0019c intergenic region",23181,23270
"208",4664833,4664922,"-","RVBD0018c-RVBD0019c intergenic region_as",23181,23270
"82",4664922,4665389,"-","RVBD0019c",23270,23737
"821",4664922,4665389,"+","RVBD0019c_as",23270,23737
"21",4665389,4665513,"+","RVBD0019c-RVBD0020c intergenic region",23737,23861
"2112",4665389,4665513,"-","RVBD0019c-RVBD0020c intergenic region_as",23737,23861
"86",4665513,4667096,"-","RVBD0020c",23861,25444
"864",4665513,4667096,"+","RVBD0020c_as",23861,25444
"22100",4667096,4667296,"+","RVBD0020c-RVBD6002 intergenic region",25444,25644
"221001",4667096,4667296,"-","RVBD0020c-RVBD6002 intergenic region_as",25444,25644
"90",4667296,4667381,"+","RVBD6002",25644,25729
"904",4667296,4667381,"-","RVBD6002_as",25644,25729
"23",4667381,4667565,"+","RVBD6002-RVBD0021c intergenic region",25729,25913
"2311",4667381,4667565,"-","RVBD6002-RVBD0021c intergenic region_as",25729,25913
"94",4667565,4668533,"-","RVBD0021c",25913,26881
"947",4667565,4668533,"+","RVBD0021c_as",25913,26881
"24",4668533,4668675,"+","RVBD0021c-RVBD0022c intergenic region",26881,27023
"2412",4668533,4668675,"-","RVBD0021c-RVBD0022c intergenic region_as",26881,27023
"98",4668675,4669094,"-","RVBD0022c",27023,27442
"9811",4668675,4669094,"+","RVBD0022c_as",27023,27442
"25",4669094,4669247,"+","RVBD0022c-RVBD0023 intergenic region",27442,27595
"257",4669094,4669247,"-","RVBD0022c-RVBD0023 intergenic region_as",27442,27595
"102",4669247,4670017,"+","RVBD0023",27595,28365
"1028",4669247,4670017,"-","RVBD0023_as",27595,28365
"106",4670014,4670859,"+","RVBD0024",28362,29207
"1069",4670014,4670859,"-","RVBD0024_as",28362,29207
"27",4670859,4670897,"+","RVBD0024-RVBD0025 intergenic region",29207,29245
"2712",4670859,4670897,"-","RVBD0024-RVBD0025 intergenic region_as",29207,29245
"110",4670897,4671259,"+","RVBD0025",29245,29607
"11012",4670897,4671259,"-","RVBD0025_as",29245,29607
"28",4671259,4671374,"+","RVBD0025-RVBD0026 intergenic region",29607,29722
"283",4671259,4671374,"-","RVBD0025-RVBD0026 intergenic region_as",29607,29722
"114",4671374,4672720,"+","RVBD0026",29722,31068
"1145",4671374,4672720,"-","RVBD0026_as",29722,31068
"29",4672720,4672841,"+","RVBD0026-RVBD0027 intergenic region",31068,31189
"295",4672720,4672841,"-","RVBD0026-RVBD0027 intergenic region_as",31068,31189
"118",4672841,4673158,"+","RVBD0027",31189,31506
"1188",4672841,4673158,"-","RVBD0027_as",31189,31506
"30100",4673158,4673166,"+","RVBD0027-RVBD0028 intergenic region",31506,31514
"301001",4673158,4673166,"-","RVBD0027-RVBD0028 intergenic region_as",31506,31514
"122",4673166,4673471,"+","RVBD0028",31514,31819
"1225",4673166,4673471,"-","RVBD0028_as",31514,31819
"31",4673471,4673709,"+","RVBD0028-RVBD0029 intergenic region",31819,32057
"312",4673471,4673709,"-","RVBD0028-RVBD0029 intergenic region_as",31819,32057
"126",4673709,4674806,"+","RVBD0029",32057,33154
"1267",4673709,4674806,"-","RVBD0029_as",32057,33154
"32",4674806,4674876,"+","RVBD0029-RVBD0030 intergenic region",33154,33224
"3215",4674806,4674876,"-","RVBD0029-RVBD0030 intergenic region_as",33154,33224
"130",4674876,4675205,"+","RVBD0030",33224,33553
"1303",4674876,4675205,"-","RVBD0030_as",33224,33553
"33",4675205,4675234,"+","RVBD0030-RVBD0031 intergenic region",33553,33582
"335",4675205,4675234,"-","RVBD0030-RVBD0031 intergenic region_as",33553,33582
"134",4675234,4675446,"+","RVBD0031",33582,33794
"1343",4675234,4675446,"-","RVBD0031_as",33582,33794
"34100",4675446,4675947,"+","RVBD0031-RVBD0032 intergenic region",33794,34295
"341001",4675446,4675947,"-","RVBD0031-RVBD0032 intergenic region_as",33794,34295
"138",4675947,4678262,"+","RVBD0032",34295,36610
"13812",4675947,4678262,"-","RVBD0032_as",34295,36610
"142",4678259,4678522,"+","RVBD0033",36607,36870
"1428",4678259,4678522,"-","RVBD0033_as",36607,36870
"146",4678519,4678914,"+","RVBD0034",36867,37262
"1463",4678519,4678914,"-","RVBD0034_as",36867,37262
"150",4678911,4680599,"+","RVBD0035",37259,38947
"1504",4678911,4680599,"-","RVBD0035_as",37259,38947
"38100",4680599,4680708,"+","RVBD0035-RVBD0036c intergenic region",38947,39056
"381001",4680599,4680708,"-","RVBD0035-RVBD0036c intergenic region_as",38947,39056
"154",4680708,4681481,"-","RVBD0036c",39056,39829
"1543",4680708,4681481,"+","RVBD0036c_as",39056,39829
"39",4681481,4681529,"+","RVBD0036c-RVBD0037c intergenic region",39829,39877
"3912",4681481,4681529,"-","RVBD0036c-RVBD0037c intergenic region_as",39829,39877
"158",4681529,4682854,"-","RVBD0037c",39877,41202
"1585",4681529,4682854,"+","RVBD0037c_as",39877,41202
"40",4682854,4682956,"+","RVBD0037c-RVBD0038 intergenic region",41202,41304
"401",4682854,4682956,"-","RVBD0037c-RVBD0038 intergenic region_as",41202,41304
"162",4682956,4683564,"+","RVBD0038",41304,41912
"1628",4682956,4683564,"-","RVBD0038_as",41304,41912
"41",4683564,4683656,"+","RVBD0038-RVBD0039c intergenic region",41912,42004
"417",4683564,4683656,"-","RVBD0038-RVBD0039c intergenic region_as",41912,42004
"166",4683656,4684003,"-","RVBD0039c",42004,42351
"1664",4683656,4684003,"+","RVBD0039c_as",42004,42351
"4211",4684003,4684085,"+","RVBD0039c-RVBD0040c intergenic region",42351,42433
"42111",4684003,4684085,"-","RVBD0039c-RVBD0040c intergenic region_as",42351,42433
"170",4684085,4685017,"-","RVBD0040c",42433,43365
"17011",4684085,4685017,"+","RVBD0040c_as",42433,43365
"43",4685017,4685214,"+","RVBD0040c-RVBD0041 intergenic region",43365,43562
"432",4685017,4685214,"-","RVBD0040c-RVBD0041 intergenic region_as",43365,43562
"174",4685214,4688123,"+","RVBD0041",43562,46471
"1741",4685214,4688123,"-","RVBD0041_as",43562,46471
"44",4688123,4688233,"+","RVBD0041-RVBD0042c intergenic region",46471,46581
"448",4688123,4688233,"-","RVBD0041-RVBD0042c intergenic region_as",46471,46581
"178",4688233,4688859,"-","RVBD0042c",46581,47207
"1783",4688233,4688859,"+","RVBD0042c_as",46581,47207
"45",4688859,4689018,"+","RVBD0042c-RVBD0043c intergenic region",47207,47366
"4511",4688859,4689018,"-","RVBD0042c-RVBD0043c intergenic region_as",47207,47366
"182",4689018,4689752,"-","RVBD0043c",47366,48100
"18210",4689018,4689752,"+","RVBD0043c_as",47366,48100
"4611",4689752,4689885,"+","RVBD0043c-RVBD0044c intergenic region",48100,48233
"46111",4689752,4689885,"-","RVBD0043c-RVBD0044c intergenic region_as",48100,48233
"186",4689885,4690679,"-","RVBD0044c",48233,49027
"1861",4689885,4690679,"+","RVBD0044c_as",48233,49027
"47",4690679,4690695,"+","RVBD0044c-RVBD0045c intergenic region",49027,49043
"479",4690679,4690695,"-","RVBD0044c-RVBD0045c intergenic region_as",49027,49043
"190",4690695,4691591,"-","RVBD0045c",49043,49939
"1903",4690695,4691591,"+","RVBD0045c_as",49043,49939
"48",4691591,4691673,"+","RVBD0045c-RVBD0046c intergenic region",49939,50021
"4811",4691591,4691673,"-","RVBD0045c-RVBD0046c intergenic region_as",49939,50021
"194",4691673,4692776,"-","RVBD0046c",50021,51124
"19411",4691673,4692776,"+","RVBD0046c_as",50021,51124
"49",4692776,4692837,"+","RVBD0046c-RVBD0047c intergenic region",51124,51185
"495",4692776,4692837,"-","RVBD0046c-RVBD0047c intergenic region_as",51124,51185
"198",4692837,4693379,"-","RVBD0047c",51185,51727
"1988",4692837,4693379,"+","RVBD0047c_as",51185,51727
"5011",4693379,4693480,"+","RVBD0047c-RVBD0048c intergenic region",51727,51828
"50111",4693379,4693480,"-","RVBD0047c-RVBD0048c intergenic region_as",51727,51828
"202",4693480,4694349,"-","RVBD0048c",51828,52697
"2023",4693480,4694349,"+","RVBD0048c_as",51828,52697
"51",4694349,4694483,"+","RVBD0048c-RVBD0049 intergenic region",52697,52831
"513",4694349,4694483,"-","RVBD0048c-RVBD0049 intergenic region_as",52697,52831
"206",4694483,4694896,"+","RVBD0049",52831,53244
"2064",4694483,4694896,"-","RVBD0049_as",52831,53244
"52",4694896,4695315,"+","RVBD0049-RVBD0050 intergenic region",53244,53663
"525",4694896,4695315,"-","RVBD0049-RVBD0050 intergenic region_as",53244,53663
"210",4695315,4697348,"+","RVBD0050",53663,55696
"2101",4695315,4697348,"-","RVBD0050_as",53663,55696
"214",4697345,4699027,"+","RVBD0051",55693,57375
"2143",4697345,4699027,"-","RVBD0051_as",55693,57375
"5411",4699027,4699059,"+","RVBD0051-RVBD0052 intergenic region",57375,57407
"54111",4699027,4699059,"-","RVBD0051-RVBD0052 intergenic region_as",57375,57407
"218",4699059,4699622,"+","RVBD0052",57407,57970
"2185",4699059,4699622,"-","RVBD0052_as",57407,57970
"55",4699622,4699841,"+","RVBD0052-RVBD0053 intergenic region",57970,58189
"552",4699622,4699841,"-","RVBD0052-RVBD0053 intergenic region_as",57970,58189
"222",4699841,4700131,"+","RVBD0053",58189,58479
"2225",4699841,4700131,"-","RVBD0053_as",58189,58479
"56",4700131,4700235,"+","RVBD0053-RVBD0054 intergenic region",58479,58583
"564",4700131,4700235,"-","RVBD0053-RVBD0054 intergenic region_as",58479,58583
"226",4700235,4700729,"+","RVBD0054",58583,59077
"2261",4700235,4700729,"-","RVBD0054_as",58583,59077
"57",4700729,4700771,"+","RVBD0054-RVBD0055 intergenic region",59077,59119
"572",4700729,4700771,"-","RVBD0054-RVBD0055 intergenic region_as",59077,59119
"230",4700771,4701025,"+","RVBD0055",59119,59373
"2309",4700771,4701025,"-","RVBD0055_as",59119,59373
"5811",4701025,4701058,"+","RVBD0055-RVBD0056 intergenic region",59373,59406
"58111",4701025,4701058,"-","RVBD0055-RVBD0056 intergenic region_as",59373,59406
"234",4701058,4701516,"+","RVBD0056",59406,59864
"2348",4701058,4701516,"-","RVBD0056_as",59406,59864
"59",4701516,4701545,"+","RVBD0056-RVBD0057 intergenic region",59864,59893
"5911",4701516,4701545,"-","RVBD0056-RVBD0057 intergenic region_as",59864,59893
"238",4701545,4702066,"+","RVBD0057",59893,60414
"2389",4701545,4702066,"-","RVBD0057_as",59893,60414
"242",4702045,4704669,"+","RVBD0058",60393,63017
"24210",4702045,4704669,"-","RVBD0058_as",60393,63017
"61",4704669,4704849,"+","RVBD0058-RVBD0059 intergenic region",63017,63197
"611",4704669,4704849,"-","RVBD0058-RVBD0059 intergenic region_as",63017,63197
"246",4704849,4705541,"+","RVBD0059",63197,63889
"2461",4704849,4705541,"-","RVBD0059_as",63197,63889
"6211",4705541,4705558,"+","RVBD0059-RVBD0060 intergenic region",63889,63906
"62111",4705541,4705558,"-","RVBD0059-RVBD0060 intergenic region_as",63889,63906
"250",4705558,4706616,"+","RVBD0060",63906,64964
"2507",4705558,4706616,"-","RVBD0060_as",63906,64964
"63",4706616,4706661,"+","RVBD0060-RVBD0061c intergenic region",64964,65009
"631",4706616,4706661,"-","RVBD0060-RVBD0061c intergenic region_as",64964,65009
"254",4706661,4706999,"-","RVBD0061c",65009,65347
"2544",4706661,4706999,"+","RVBD0061c_as",65009,65347
"64",4706999,4707201,"+","RVBD0061c-RVBD0062 intergenic region",65347,65549
"643",4706999,4707201,"-","RVBD0061c-RVBD0062 intergenic region_as",65347,65549
"258",4707201,4708343,"+","RVBD0062",65549,66691
"2587",4707201,4708343,"-","RVBD0062_as",65549,66691
"65",4708343,4708572,"+","RVBD0062-RVBD0063 intergenic region",66691,66920
"653",4708343,4708572,"-","RVBD0062-RVBD0063 intergenic region_as",66691,66920
"262",4708572,4710011,"+","RVBD0063",66920,68359
"2623",4708572,4710011,"-","RVBD0063_as",66920,68359
"6611",4710011,4710269,"+","RVBD0063-RVBD0064 intergenic region",68359,68617
"66111",4710011,4710269,"-","RVBD0063-RVBD0064 intergenic region_as",68359,68617
"266",4710269,4713208,"+","RVBD0064",68617,71556
"2663",4710269,4713208,"-","RVBD0064_as",68617,71556
"67",4713208,4713238,"+","RVBD0064-RVBD0064A intergenic region",71556,71586
"677",4713208,4713238,"-","RVBD0064-RVBD0064A intergenic region_as",71556,71586
"270",4713238,4713477,"+","RVBD0064A",71586,71825
"2703",4713238,4713477,"-","RVBD0064A_as",71586,71825
"274",4713470,4713871,"+","RVBD0065",71818,72219
"27411",4713470,4713871,"-","RVBD0065_as",71818,72219
"69",4713871,4713923,"+","RVBD0065-RVBD0066c intergenic region",72219,72271
"693",4713871,4713923,"-","RVBD0065-RVBD0066c intergenic region_as",72219,72271
"278",4713923,4716160,"-","RVBD0066c",72271,74508
"2787",4713923,4716160,"+","RVBD0066c_as",72271,74508
"7011",4716160,4716278,"+","RVBD0066c-RVBD0067c intergenic region",74508,74626
"70111",4716160,4716278,"-","RVBD0066c-RVBD0067c intergenic region_as",74508,74626
"282",4716278,4716847,"-","RVBD0067c",74626,75195
"2821",4716278,4716847,"+","RVBD0067c_as",74626,75195
"71",4716847,4716950,"+","RVBD0067c-RVBD0068 intergenic region",75195,75298
"717",4716847,4716950,"-","RVBD0067c-RVBD0068 intergenic region_as",75195,75298
"286",4716950,4717861,"+","RVBD0068",75298,76209
"2867",4716950,4717861,"-","RVBD0068_as",75298,76209
"72",4717861,4717886,"+","RVBD0068-RVBD0069c intergenic region",76209,76234
"721",4717861,4717886,"-","RVBD0068-RVBD0069c intergenic region_as",76209,76234
"290",4717886,4719271,"-","RVBD0069c",76234,77619
"29011",4717886,4719271,"+","RVBD0069c_as",76234,77619
"294",4719268,4720545,"-","RVBD0070c",77616,78893
"2941",4719268,4720545,"+","RVBD0070c_as",77616,78893
"7411",4720545,4721135,"+","RVBD0070c-RVBD0071 intergenic region",78893,79483
"74111",4720545,4721135,"-","RVBD0070c-RVBD0071 intergenic region_as",78893,79483
"298",4721135,4721842,"+","RVBD0071",79483,80190
"2981",4721135,4721842,"-","RVBD0071_as",79483,80190
"75",4721842,4722273,"+","RVBD0071-RVBD0072 intergenic region",80190,80621
"755",4721842,4722273,"-","RVBD0071-RVBD0072 intergenic region_as",80190,80621
"302",4722273,4723322,"+","RVBD0072",80621,81670
"30210",4722273,4723322,"-","RVBD0072_as",80621,81670
"76",4723322,4723325,"+","RVBD0072-RVBD0073 intergenic region",81670,81673
"763",4723322,4723325,"-","RVBD0072-RVBD0073 intergenic region_as",81670,81673
"306",4723325,4724317,"+","RVBD0073",81673,82665
"3064",4723325,4724317,"-","RVBD0073_as",81673,82665
"77",4724317,4724397,"+","RVBD0073-RVBD0074 intergenic region",82665,82745
"776",4724317,4724397,"-","RVBD0073-RVBD0074 intergenic region_as",82665,82745
"310",4724397,4725632,"+","RVBD0074",82745,83980
"31010",4724397,4725632,"-","RVBD0074_as",82745,83980
"7811",4725632,4725645,"+","RVBD0074-RVBD0075 intergenic region",83980,83993
"78111",4725632,4725645,"-","RVBD0074-RVBD0075 intergenic region_as",83980,83993
"314",4725645,4726817,"+","RVBD0075",83993,85165
"31410",4725645,4726817,"-","RVBD0075_as",83993,85165
"79",4726817,4726832,"+","RVBD0075-RVBD0076c intergenic region",85165,85180
"793",4726817,4726832,"-","RVBD0075-RVBD0076c intergenic region_as",85165,85180
"318",4726832,4727221,"-","RVBD0076c",85180,85569
"31810",4726832,4727221,"+","RVBD0076c_as",85180,85569
"80",4727221,4727285,"+","RVBD0076c-RVBD0077c intergenic region",85569,85633
"801",4727221,4727285,"-","RVBD0076c-RVBD0077c intergenic region_as",85569,85633
"322",4727285,4728115,"-","RVBD0077c",85633,86463
"3224",4727285,4728115,"+","RVBD0077c_as",85633,86463
"81",4728115,4728177,"+","RVBD0077c-RVBD0078 intergenic region",86463,86525
"813",4728115,4728177,"-","RVBD0077c-RVBD0078 intergenic region_as",86463,86525
"326",4728177,4728782,"+","RVBD0078",86525,87130
"3264",4728177,4728782,"-","RVBD0078_as",86525,87130
"8211",4728782,4728857,"+","RVBD0078-RVBD0078A intergenic region",87130,87205
"82111",4728782,4728857,"-","RVBD0078-RVBD0078A intergenic region_as",87130,87205
"330",4728857,4729450,"-","RVBD0078A",87205,87798
"3304",4728857,4729450,"+","RVBD0078A_as",87205,87798
"334",4729447,4729653,"-","RVBD0078B",87795,88001
"3348",4729447,4729653,"+","RVBD0078B_as",87795,88001
"84",4729653,4729853,"+","RVBD0078B-RVBD0079 intergenic region",88001,88201
"841",4729653,4729853,"-","RVBD0078B-RVBD0079 intergenic region_as",88001,88201
"338",4729853,4730674,"+","RVBD0079",88201,89022
"33811",4729853,4730674,"-","RVBD0079_as",88201,89022
"342",4730671,4731129,"+","RVBD0080",89019,89477
"3421",4730671,4731129,"-","RVBD0080_as",89019,89477
"8611",4731129,4731224,"+","RVBD0080-RVBD0081 intergenic region",89477,89572
"86111",4731129,4731224,"-","RVBD0080-RVBD0081 intergenic region_as",89477,89572
"346",4731224,4731568,"+","RVBD0081",89572,89916
"3461",4731224,4731568,"-","RVBD0081_as",89572,89916
"87",4731568,4731573,"+","RVBD0081-RVBD0082 intergenic region",89916,89921
"872",4731568,4731573,"-","RVBD0081-RVBD0082 intergenic region_as",89916,89921
"350",4731573,4732052,"+","RVBD0082",89921,90400
"3505",4731573,4732052,"-","RVBD0082_as",89921,90400
"354",4732049,4733971,"+","RVBD0083",90397,92319
"35411",4732049,4733971,"-","RVBD0083_as",90397,92319
"89",4733971,4733977,"+","RVBD0083-RVBD0084 intergenic region",92319,92325
"897",4733971,4733977,"-","RVBD0083-RVBD0084 intergenic region_as",92319,92325
"358",4733977,4734927,"+","RVBD0084",92325,93275
"3589",4733977,4734927,"-","RVBD0084_as",92325,93275
"9011",4734927,4734938,"+","RVBD0084-RVBD0085 intergenic region",93275,93286
"90111",4734927,4734938,"-","RVBD0084-RVBD0085 intergenic region_as",93275,93286
"362",4734938,4735600,"+","RVBD0085",93286,93948
"36211",4734938,4735600,"-","RVBD0085_as",93286,93948
"366",4735600,4737066,"+","RVBD0086",93948,95414
"91",4735600,4735600,"+","RVBD0085-RVBD0086 intergenic region",93948,93948
"36611",4735600,4737066,"-","RVBD0086_as",93948,95414
"915",4735600,4735600,"-","RVBD0085-RVBD0086 intergenic region_as",93948,93948
"370",4737063,4738541,"+","RVBD0087",95411,96889
"3705",4737063,4738541,"-","RVBD0087_as",95411,96889
"93",4738541,4738576,"+","RVBD0087-RVBD0088 intergenic region",96889,96924
"932",4738541,4738576,"-","RVBD0087-RVBD0088 intergenic region_as",96889,96924
"374",4738576,4739250,"+","RVBD0088",96924,97598
"3749",4738576,4739250,"-","RVBD0088_as",96924,97598
"9411",4739250,4739407,"+","RVBD0088-RVBD0089 intergenic region",97598,97755
"94111",4739250,4739407,"-","RVBD0088-RVBD0089 intergenic region_as",97598,97755
"378",4739407,4740000,"+","RVBD0089",97755,98348
"37811",4739407,4740000,"-","RVBD0089_as",97755,98348
"95",4740000,4740129,"+","RVBD0089-RVBD0090 intergenic region",98348,98477
"9511",4740000,4740129,"-","RVBD0089-RVBD0090 intergenic region_as",98348,98477
"382",4740129,4740899,"+","RVBD0090",98477,99247
"3829",4740129,4740899,"-","RVBD0090_as",98477,99247
"96",4740899,4741333,"+","RVBD0090-RVBD0091 intergenic region",99247,99681
"9611",4740899,4741333,"-","RVBD0090-RVBD0091 intergenic region_as",99247,99681
"386",4741333,4742100,"+","RVBD0091",99681,100448
"38610",4741333,4742100,"-","RVBD0091_as",99681,100448
"97",4742100,4742232,"+","RVBD0091-RVBD0092 intergenic region",100448,100580
"977",4742100,4742232,"-","RVBD0091-RVBD0092 intergenic region_as",100448,100580
"390",4742232,4744517,"+","RVBD0092",100580,102865
"3905",4742232,4744517,"-","RVBD0092_as",100580,102865
"394",4744464,4745312,"-","RVBD0093c",102812,103660
"3944",4744464,4745312,"+","RVBD0093c_as",102812,103660
"99",4745312,4745359,"+","RVBD0093c-RVBD0094c intergenic region",103660,103707
"996",4745312,4745359,"-","RVBD0093c-RVBD0094c intergenic region_as",103660,103707
"398",4745359,4746312,"-","RVBD0094c",103707,104660
"3981",4745359,4746312,"+","RVBD0094c_as",103707,104660
"100",4746312,4746454,"+","RVBD0094c-RVBD0095c intergenic region",104660,104802
"10011",4746312,4746454,"-","RVBD0094c-RVBD0095c intergenic region_as",104660,104802
"402",4746454,4746864,"-","RVBD0095c",104802,105212
"4024",4746454,4746864,"+","RVBD0095c_as",104802,105212
"101",4746864,4746973,"+","RVBD0095c-RVBD0096 intergenic region",105212,105321
"1013",4746864,4746973,"-","RVBD0095c-RVBD0096 intergenic region_as",105212,105321
"406",4746973,4748364,"+","RVBD0096",105321,106712
"4063",4746973,4748364,"-","RVBD0096_as",105321,106712
"10211",4748364,4748383,"+","RVBD0096-RVBD0097 intergenic region",106712,106731
"102111",4748364,4748383,"-","RVBD0096-RVBD0097 intergenic region_as",106712,106731
"410",4748383,4749252,"+","RVBD0097",106731,107600
"4103",4748383,4749252,"-","RVBD0097_as",106731,107600
"414",4749249,4749800,"+","RVBD0098",107597,108148
"4143",4749249,4749800,"-","RVBD0098_as",107597,108148
"104",4749800,4749805,"+","RVBD0098-RVBD0099 intergenic region",108148,108153
"10411",4749800,4749805,"-","RVBD0098-RVBD0099 intergenic region_as",108148,108153
"418",4749805,4751427,"+","RVBD0099",108153,109775
"4181",4749805,4751427,"-","RVBD0099_as",108153,109775
"105",4751427,4751432,"+","RVBD0099-RVBD0100 intergenic region",109775,109780
"1052",4751427,4751432,"-","RVBD0099-RVBD0100 intergenic region_as",109775,109780
"422",4751432,4751668,"+","RVBD0100",109780,110016
"4223",4751432,4751668,"-","RVBD0100_as",109780,110016
"426",4751650,4759188,"+","RVBD0101",109998,117536
"4261",4751650,4759188,"-","RVBD0101_as",109998,117536
"107",4759188,4759363,"+","RVBD0101-RVBD0102 intergenic region",117536,117711
"1071",4759188,4759363,"-","RVBD0101-RVBD0102 intergenic region_as",117536,117711
"430",4759363,4761348,"+","RVBD0102",117711,119696
"4303",4759363,4761348,"-","RVBD0102_as",117711,119696
"108",4761348,4761564,"+","RVBD0102-RVBD0103c intergenic region",119696,119912
"1089",4761348,4761564,"-","RVBD0102-RVBD0103c intergenic region_as",119696,119912
"434",4761564,4763822,"-","RVBD0103c",119912,122170
"4341",4761564,4763822,"+","RVBD0103c_as",119912,122170
"109",4763822,4763966,"+","RVBD0103c-RVBD0104 intergenic region",122170,122314
"1097",4763822,4763966,"-","RVBD0103c-RVBD0104 intergenic region_as",122170,122314
"438",4763966,4765480,"+","RVBD0104",122314,123828
"4383",4763966,4765480,"-","RVBD0104_as",122314,123828
"11011",4765480,4765629,"+","RVBD0104-RVBD0105c intergenic region",123828,123977
"110111",4765480,4765629,"-","RVBD0104-RVBD0105c intergenic region_as",123828,123977
"442",4765629,4765913,"-","RVBD0105c",123977,124261
"4423",4765629,4765913,"+","RVBD0105c_as",123977,124261
"111",4765913,4766023,"+","RVBD0105c-RVBD0106 intergenic region",124261,124371
"1115",4765913,4766023,"-","RVBD0105c-RVBD0106 intergenic region_as",124261,124371
