"","start","end","strand","seqnames","unique_row_ID"
"8104",4685652,4686202,"-","H37Rv",164
"84",4686202,4686752,"+","H37Rv",165
"8105",4686202,4686752,"-","H37Rv",166
"85",4686752,4687302,"+","H37Rv",167
"8106",4686752,4687302,"-","H37Rv",168
"86",4687302,4687852,"+","H37Rv",169
"8107",4687302,4687852,"-","H37Rv",170
"87",4687852,4688402,"+","H37Rv",171
"8108",4687852,4688402,"-","H37Rv",172
"88",4688402,4688952,"+","H37Rv",173
"8109",4688402,4688952,"-","H37Rv",174
"89",4688952,4689502,"+","H37Rv",175
"8110",4688952,4689502,"-","H37Rv",176
"90",4689502,4690052,"+","H37Rv",177
"8111",4689502,4690052,"-","H37Rv",178
"91",4690052,4690602,"+","H37Rv",179
"8112",4690052,4690602,"-","H37Rv",180
"92",4690602,4691152,"+","H37Rv",181
"8113",4690602,4691152,"-","H37Rv",182
"93",4691152,4691702,"+","H37Rv",183
"8114",4691152,4691702,"-","H37Rv",184
"94",4691702,4692252,"+","H37Rv",185
"8115",4691702,4692252,"-","H37Rv",186
"95",4692252,4692802,"+","H37Rv",187
"8116",4692252,4692802,"-","H37Rv",188
"96",4692802,4693352,"+","H37Rv",189
"8117",4692802,4693352,"-","H37Rv",190
"97",4693352,4693902,"+","H37Rv",191
"8118",4693352,4693902,"-","H37Rv",192
"98",4693902,4694452,"+","H37Rv",193
"8119",4693902,4694452,"-","H37Rv",194
"99",4694452,4695002,"+","H37Rv",195
"8120",4694452,4695002,"-","H37Rv",196
"100",4695002,4695552,"+","H37Rv",197
"8121",4695002,4695552,"-","H37Rv",198
"101",4695552,4696102,"+","H37Rv",199
"8122",4695552,4696102,"-","H37Rv",200
"102",4696102,4696652,"+","H37Rv",201
"8123",4696102,4696652,"-","H37Rv",202
"103",4696652,4697202,"+","H37Rv",203
"8124",4696652,4697202,"-","H37Rv",204
"104",4697202,4697752,"+","H37Rv",205
"8125",4697202,4697752,"-","H37Rv",206
"105",4697752,4698302,"+","H37Rv",207
"8126",4697752,4698302,"-","H37Rv",208
"106",4698302,4698852,"+","H37Rv",209
"8127",4698302,4698852,"-","H37Rv",210
"107",4698852,4699402,"+","H37Rv",211
"8128",4698852,4699402,"-","H37Rv",212
"108",4699402,4699952,"+","H37Rv",213
"8129",4699402,4699952,"-","H37Rv",214
"109",4699952,4700502,"+","H37Rv",215
"8130",4699952,4700502,"-","H37Rv",216
"110",4700502,4701052,"+","H37Rv",217
"8131",4700502,4701052,"-","H37Rv",218
"111",4701052,4701602,"+","H37Rv",219
"8132",4701052,4701602,"-","H37Rv",220
"112",4701602,4702152,"+","H37Rv",221
"8133",4701602,4702152,"-","H37Rv",222
"113",4702152,4702702,"+","H37Rv",223
"8134",4702152,4702702,"-","H37Rv",224
"114",4702702,4703252,"+","H37Rv",225
"8135",4702702,4703252,"-","H37Rv",226
"115",4703252,4703802,"+","H37Rv",227
"8136",4703252,4703802,"-","H37Rv",228
"116",4703802,4704352,"+","H37Rv",229
"8137",4703802,4704352,"-","H37Rv",230
"117",4704352,4704902,"+","H37Rv",231
"8138",4704352,4704902,"-","H37Rv",232
"118",4704902,4705452,"+","H37Rv",233
"8139",4704902,4705452,"-","H37Rv",234
"119",4705452,4706002,"+","H37Rv",235
"8140",4705452,4706002,"-","H37Rv",236
"120",4706002,4706552,"+","H37Rv",237
"8141",4706002,4706552,"-","H37Rv",238
"121",4706552,4707102,"+","H37Rv",239
"8142",4706552,4707102,"-","H37Rv",240
"122",4707102,4707652,"+","H37Rv",241
"8143",4707102,4707652,"-","H37Rv",242
"123",4707652,4708202,"+","H37Rv",243
"8144",4707652,4708202,"-","H37Rv",244
"124",4708202,4708752,"+","H37Rv",245
"8145",4708202,4708752,"-","H37Rv",246
"125",4708752,4709302,"+","H37Rv",247
"8146",4708752,4709302,"-","H37Rv",248
"126",4709302,4709852,"+","H37Rv",249
"8147",4709302,4709852,"-","H37Rv",250
"127",4709852,4710402,"+","H37Rv",251
"8148",4709852,4710402,"-","H37Rv",252
"128",4710402,4710952,"+","H37Rv",253
"8149",4710402,4710952,"-","H37Rv",254
"129",4710952,4711502,"+","H37Rv",255
"8150",4710952,4711502,"-","H37Rv",256
"130",4711502,4712052,"+","H37Rv",257
"8151",4711502,4712052,"-","H37Rv",258
"131",4712052,4712602,"+","H37Rv",259
"8152",4712052,4712602,"-","H37Rv",260
"132",4712602,4713152,"+","H37Rv",261
"8153",4712602,4713152,"-","H37Rv",262
"133",4713152,4713702,"+","H37Rv",263
"8154",4713152,4713702,"-","H37Rv",264
"134",4713702,4714252,"+","H37Rv",265
"8155",4713702,4714252,"-","H37Rv",266
"135",4714252,4714802,"+","H37Rv",267
"8156",4714252,4714802,"-","H37Rv",268
"136",4714802,4715352,"+","H37Rv",269
"8157",4714802,4715352,"-","H37Rv",270
"137",4715352,4715902,"+","H37Rv",271
"8158",4715352,4715902,"-","H37Rv",272
"138",4715902,4716452,"+","H37Rv",273
"8159",4715902,4716452,"-","H37Rv",274
"139",4716452,4717002,"+","H37Rv",275
"8160",4716452,4717002,"-","H37Rv",276
"140",4717002,4717552,"+","H37Rv",277
"8161",4717002,4717552,"-","H37Rv",278
"141",4717552,4718102,"+","H37Rv",279
"8162",4717552,4718102,"-","H37Rv",280
"142",4718102,4718652,"+","H37Rv",281
"8163",4718102,4718652,"-","H37Rv",282
"143",4718652,4719202,"+","H37Rv",283
"8164",4718652,4719202,"-","H37Rv",284
"144",4719202,4719752,"+","H37Rv",285
"8165",4719202,4719752,"-","H37Rv",286
"145",4719752,4720302,"+","H37Rv",287
"8166",4719752,4720302,"-","H37Rv",288
"146",4720302,4720852,"+","H37Rv",289
"8167",4720302,4720852,"-","H37Rv",290
"147",4720852,4721402,"+","H37Rv",291
"8168",4720852,4721402,"-","H37Rv",292
"148",4721402,4721952,"+","H37Rv",293
"8169",4721402,4721952,"-","H37Rv",294
"149",4721952,4722502,"+","H37Rv",295
"8170",4721952,4722502,"-","H37Rv",296
"150",4722502,4723052,"+","H37Rv",297
"8171",4722502,4723052,"-","H37Rv",298
"151",4723052,4723602,"+","H37Rv",299
"8172",4723052,4723602,"-","H37Rv",300
"152",4723602,4724152,"+","H37Rv",301
"8173",4723602,4724152,"-","H37Rv",302
"153",4724152,4724702,"+","H37Rv",303
"8174",4724152,4724702,"-","H37Rv",304
"154",4724702,4725252,"+","H37Rv",305
"8175",4724702,4725252,"-","H37Rv",306
"155",4725252,4725802,"+","H37Rv",307
"8176",4725252,4725802,"-","H37Rv",308
"156",4725802,4726352,"+","H37Rv",309
"8177",4725802,4726352,"-","H37Rv",310
"157",4726352,4726902,"+","H37Rv",311
"8178",4726352,4726902,"-","H37Rv",312
"158",4726902,4727452,"+","H37Rv",313
"8179",4726902,4727452,"-","H37Rv",314
"159",4727452,4728002,"+","H37Rv",315
"8180",4727452,4728002,"-","H37Rv",316
"160",4728002,4728552,"+","H37Rv",317
"8181",4728002,4728552,"-","H37Rv",318
"161",4728552,4729102,"+","H37Rv",319
"8182",4728552,4729102,"-","H37Rv",320
"162",4729102,4729652,"+","H37Rv",321
"8183",4729102,4729652,"-","H37Rv",322
"163",4729652,4730202,"+","H37Rv",323
"8184",4729652,4730202,"-","H37Rv",324
"164",4730202,4730752,"+","H37Rv",325
"8185",4730202,4730752,"-","H37Rv",326
"165",4730752,4731302,"+","H37Rv",327
"8186",4730752,4731302,"-","H37Rv",328
"166",4731302,4731852,"+","H37Rv",329
"8187",4731302,4731852,"-","H37Rv",330
"167",4731852,4732402,"+","H37Rv",331
"8188",4731852,4732402,"-","H37Rv",332
"168",4732402,4732952,"+","H37Rv",333
"8189",4732402,4732952,"-","H37Rv",334
"169",4732952,4733502,"+","H37Rv",335
"8190",4732952,4733502,"-","H37Rv",336
"170",4733502,4734052,"+","H37Rv",337
"8191",4733502,4734052,"-","H37Rv",338
"171",4734052,4734602,"+","H37Rv",339
"8192",4734052,4734602,"-","H37Rv",340
"172",4734602,4735152,"+","H37Rv",341
"8193",4734602,4735152,"-","H37Rv",342
"173",4735152,4735702,"+","H37Rv",343
"8194",4735152,4735702,"-","H37Rv",344
"174",4735702,4736252,"+","H37Rv",345
"8195",4735702,4736252,"-","H37Rv",346
"175",4736252,4736802,"+","H37Rv",347
"8196",4736252,4736802,"-","H37Rv",348
"176",4736802,4737352,"+","H37Rv",349
"8197",4736802,4737352,"-","H37Rv",350
"177",4737352,4737902,"+","H37Rv",351
"8198",4737352,4737902,"-","H37Rv",352
"178",4737902,4738452,"+","H37Rv",353
"8199",4737902,4738452,"-","H37Rv",354
"179",4738452,4739002,"+","H37Rv",355
"8200",4738452,4739002,"-","H37Rv",356
"180",4739002,4739552,"+","H37Rv",357
"8201",4739002,4739552,"-","H37Rv",358
"181",4739552,4740102,"+","H37Rv",359
"8202",4739552,4740102,"-","H37Rv",360
"182",4740102,4740652,"+","H37Rv",361
"8203",4740102,4740652,"-","H37Rv",362
"183",4740652,4741202,"+","H37Rv",363
"8204",4740652,4741202,"-","H37Rv",364
"184",4741202,4741752,"+","H37Rv",365
"8205",4741202,4741752,"-","H37Rv",366
"185",4741752,4742302,"+","H37Rv",367
"8206",4741752,4742302,"-","H37Rv",368
"186",4742302,4742852,"+","H37Rv",369
"8207",4742302,4742852,"-","H37Rv",370
"187",4742852,4743402,"+","H37Rv",371
"8208",4742852,4743402,"-","H37Rv",372
"188",4743402,4743952,"+","H37Rv",373
"8209",4743402,4743952,"-","H37Rv",374
"189",4743952,4744502,"+","H37Rv",375
"8210",4743952,4744502,"-","H37Rv",376
"190",4744502,4745052,"+","H37Rv",377
"8211",4744502,4745052,"-","H37Rv",378
"191",4745052,4745602,"+","H37Rv",379
"8212",4745052,4745602,"-","H37Rv",380
"192",4745602,4746152,"+","H37Rv",381
"8213",4745602,4746152,"-","H37Rv",382
"193",4746152,4746702,"+","H37Rv",383
"8214",4746152,4746702,"-","H37Rv",384
"194",4746702,4747252,"+","H37Rv",385
"8215",4746702,4747252,"-","H37Rv",386
"195",4747252,4747802,"+","H37Rv",387
"8216",4747252,4747802,"-","H37Rv",388
"196",4747802,4748352,"+","H37Rv",389
"8217",4747802,4748352,"-","H37Rv",390
"197",4748352,4748902,"+","H37Rv",391
"8218",4748352,4748902,"-","H37Rv",392
"198",4748902,4749452,"+","H37Rv",393
"8219",4748902,4749452,"-","H37Rv",394
"199",4749452,4750002,"+","H37Rv",395
"8220",4749452,4750002,"-","H37Rv",396
"200",4750002,4750552,"+","H37Rv",397
"8221",4750002,4750552,"-","H37Rv",398
"201",4750552,4751102,"+","H37Rv",399
"8222",4750552,4751102,"-","H37Rv",400
"202",4751102,4751652,"+","H37Rv",401
"8223",4751102,4751652,"-","H37Rv",402
"203",4751652,4752202,"+","H37Rv",403
"8224",4751652,4752202,"-","H37Rv",404
"204",4752202,4752752,"+","H37Rv",405
"8225",4752202,4752752,"-","H37Rv",406
"205",4752752,4753302,"+","H37Rv",407
"8226",4752752,4753302,"-","H37Rv",408
"206",4753302,4753852,"+","H37Rv",409
"8227",4753302,4753852,"-","H37Rv",410
"207",4753852,4754402,"+","H37Rv",411
"8228",4753852,4754402,"-","H37Rv",412
"208",4754402,4754952,"+","H37Rv",413
"8229",4754402,4754952,"-","H37Rv",414
"209",4754952,4755502,"+","H37Rv",415
"8230",4754952,4755502,"-","H37Rv",416
"210",4755502,4756052,"+","H37Rv",417
"8231",4755502,4756052,"-","H37Rv",418
"211",4756052,4756602,"+","H37Rv",419
"8232",4756052,4756602,"-","H37Rv",420
"212",4756602,4757152,"+","H37Rv",421
"8233",4756602,4757152,"-","H37Rv",422
"213",4757152,4757702,"+","H37Rv",423
"8234",4757152,4757702,"-","H37Rv",424
"214",4757702,4758252,"+","H37Rv",425
"8235",4757702,4758252,"-","H37Rv",426
"215",4758252,4758802,"+","H37Rv",427
"8236",4758252,4758802,"-","H37Rv",428
"216",4758802,4759352,"+","H37Rv",429
"8237",4758802,4759352,"-","H37Rv",430
"217",4759352,4759902,"+","H37Rv",431
"8238",4759352,4759902,"-","H37Rv",432
"218",4759902,4760452,"+","H37Rv",433
"8239",4759902,4760452,"-","H37Rv",434
"219",4760452,4761002,"+","H37Rv",435
"8240",4760452,4761002,"-","H37Rv",436
"220",4761002,4761552,"+","H37Rv",437
"8241",4761002,4761552,"-","H37Rv",438
"221",4761552,4762102,"+","H37Rv",439
"8242",4761552,4762102,"-","H37Rv",440
"222",4762102,4762652,"+","H37Rv",441
"8243",4762102,4762652,"-","H37Rv",442
"223",4762652,4763202,"+","H37Rv",443
"8244",4762652,4763202,"-","H37Rv",444
"224",4763202,4763752,"+","H37Rv",445
"8245",4763202,4763752,"-","H37Rv",446
"225",4763752,4764302,"+","H37Rv",447
"8246",4763752,4764302,"-","H37Rv",448
"226",4764302,4764852,"+","H37Rv",449
"8247",4764302,4764852,"-","H37Rv",450
"227",4764852,4765402,"+","H37Rv",451
"8248",4764852,4765402,"-","H37Rv",452
"228",4765402,4765952,"+","H37Rv",453
"8249",4765402,4765952,"-","H37Rv",454
"229",4765952,4766502,"+","H37Rv",455
"8250",4765952,4766502,"-","H37Rv",456
"230",4766502,4767052,"+","H37Rv",457
"8251",4766502,4767052,"-","H37Rv",458
"231",4767052,4767602,"+","H37Rv",459
"8252",4767052,4767602,"-","H37Rv",460
"232",4767602,4768152,"+","H37Rv",461
"8253",4767602,4768152,"-","H37Rv",462
"233",4768152,4768702,"+","H37Rv",463
"8254",4768152,4768702,"-","H37Rv",464
"234",4768702,4769252,"+","H37Rv",465
"8255",4768702,4769252,"-","H37Rv",466
"235",4769252,4769802,"+","H37Rv",467
"8256",4769252,4769802,"-","H37Rv",468
"236",4769802,4770352,"+","H37Rv",469
"8257",4769802,4770352,"-","H37Rv",470
"237",4770352,4770902,"+","H37Rv",471
"8258",4770352,4770902,"-","H37Rv",472
"238",4770902,4771452,"+","H37Rv",473
"8259",4770902,4771452,"-","H37Rv",474
"239",4771452,4772002,"+","H37Rv",475
"8260",4771452,4772002,"-","H37Rv",476
"240",4772002,4772552,"+","H37Rv",477
"8261",4772002,4772552,"-","H37Rv",478
"241",4772552,4773102,"+","H37Rv",479
"8262",4772552,4773102,"-","H37Rv",480
"242",4773102,4773652,"+","H37Rv",481
"8263",4773102,4773652,"-","H37Rv",482
"243",4773652,4774202,"+","H37Rv",483
"8264",4773652,4774202,"-","H37Rv",484
"244",4774202,4774752,"+","H37Rv",485
"8265",4774202,4774752,"-","H37Rv",486
"245",4774752,4775302,"+","H37Rv",487
"8266",4774752,4775302,"-","H37Rv",488
"246",4775302,4775852,"+","H37Rv",489
"8267",4775302,4775852,"-","H37Rv",490
"247",4775852,4776402,"+","H37Rv",491
"8268",4775852,4776402,"-","H37Rv",492
"248",4776402,4776952,"+","H37Rv",493
"8269",4776402,4776952,"-","H37Rv",494
"249",4776952,4777502,"+","H37Rv",495
"8270",4776952,4777502,"-","H37Rv",496
"250",4777502,4778052,"+","H37Rv",497
"8271",4777502,4778052,"-","H37Rv",498
"251",4778052,4778602,"+","H37Rv",499
"8272",4778052,4778602,"-","H37Rv",500
"252",4778602,4779152,"+","H37Rv",501
"8273",4778602,4779152,"-","H37Rv",502
"253",4779152,4779702,"+","H37Rv",503
"8274",4779152,4779702,"-","H37Rv",504
"254",4779702,4780252,"+","H37Rv",505
"8275",4779702,4780252,"-","H37Rv",506
"255",4780252,4780802,"+","H37Rv",507
"8276",4780252,4780802,"-","H37Rv",508
"256",4780802,4781352,"+","H37Rv",509
"8277",4780802,4781352,"-","H37Rv",510
"257",4781352,4781902,"+","H37Rv",511
"8278",4781352,4781902,"-","H37Rv",512
"258",4781902,4782452,"+","H37Rv",513
"8279",4781902,4782452,"-","H37Rv",514
"259",4782452,4783002,"+","H37Rv",515
"8280",4782452,4783002,"-","H37Rv",516
"260",4783002,4783552,"+","H37Rv",517
"8281",4783002,4783552,"-","H37Rv",518
"261",4783552,4784102,"+","H37Rv",519
"8282",4783552,4784102,"-","H37Rv",520
"262",4784102,4784652,"+","H37Rv",521
"8283",4784102,4784652,"-","H37Rv",522
"263",4784652,4785202,"+","H37Rv",523
"8284",4784652,4785202,"-","H37Rv",524
"264",4785202,4785752,"+","H37Rv",525
"8285",4785202,4785752,"-","H37Rv",526
"265",4785752,4786302,"+","H37Rv",527
"8286",4785752,4786302,"-","H37Rv",528
"266",4786302,4786852,"+","H37Rv",529
"8287",4786302,4786852,"-","H37Rv",530
"267",4786852,4787402,"+","H37Rv",531
"8288",4786852,4787402,"-","H37Rv",532
"268",4787402,4787952,"+","H37Rv",533
"8289",4787402,4787952,"-","H37Rv",534
"269",4787952,4788502,"+","H37Rv",535
"8290",4787952,4788502,"-","H37Rv",536
"270",4788502,4789052,"+","H37Rv",537
"8291",4788502,4789052,"-","H37Rv",538
"271",4789052,4789602,"+","H37Rv",539
"8292",4789052,4789602,"-","H37Rv",540
"272",4789602,4790152,"+","H37Rv",541
"8293",4789602,4790152,"-","H37Rv",542
"273",4790152,4790702,"+","H37Rv",543
"8294",4790152,4790702,"-","H37Rv",544
"274",4790702,4791252,"+","H37Rv",545
"8295",4790702,4791252,"-","H37Rv",546
"275",4791252,4791802,"+","H37Rv",547
"8296",4791252,4791802,"-","H37Rv",548
"276",4791802,4792352,"+","H37Rv",549
"8297",4791802,4792352,"-","H37Rv",550
"277",4792352,4792902,"+","H37Rv",551
"8298",4792352,4792902,"-","H37Rv",552
"278",4792902,4793452,"+","H37Rv",553
"8299",4792902,4793452,"-","H37Rv",554
"279",4793452,4794002,"+","H37Rv",555
"8300",4793452,4794002,"-","H37Rv",556
"280",4794002,4794552,"+","H37Rv",557
"8301",4794002,4794552,"-","H37Rv",558
"281",4794552,4795102,"+","H37Rv",559
"8302",4794552,4795102,"-","H37Rv",560
"282",4795102,4795652,"+","H37Rv",561
"8303",4795102,4795652,"-","H37Rv",562
"283",4795652,4796202,"+","H37Rv",563
"8304",4795652,4796202,"-","H37Rv",564
"284",4796202,4796752,"+","H37Rv",565
"8305",4796202,4796752,"-","H37Rv",566
"285",4796752,4797302,"+","H37Rv",567
"8306",4796752,4797302,"-","H37Rv",568
"286",4797302,4797852,"+","H37Rv",569
"8307",4797302,4797852,"-","H37Rv",570
"287",4797852,4798402,"+","H37Rv",571
"8308",4797852,4798402,"-","H37Rv",572
"288",4798402,4798952,"+","H37Rv",573
"8309",4798402,4798952,"-","H37Rv",574
"289",4798952,4799502,"+","H37Rv",575
"8310",4798952,4799502,"-","H37Rv",576
"290",4799502,4800052,"+","H37Rv",577
"8311",4799502,4800052,"-","H37Rv",578
"291",4800052,4800602,"+","H37Rv",579
"8312",4800052,4800602,"-","H37Rv",580
"292",4800602,4801152,"+","H37Rv",581
"8313",4800602,4801152,"-","H37Rv",582
"293",4801152,4801702,"+","H37Rv",583
"8314",4801152,4801702,"-","H37Rv",584
"294",4801702,4802252,"+","H37Rv",585
"8315",4801702,4802252,"-","H37Rv",586
"295",4802252,4802802,"+","H37Rv",587
"8316",4802252,4802802,"-","H37Rv",588
"296",4802802,4803352,"+","H37Rv",589
"8317",4802802,4803352,"-","H37Rv",590
"297",4803352,4803902,"+","H37Rv",591
"8318",4803352,4803902,"-","H37Rv",592
"298",4803902,4804452,"+","H37Rv",593
"8319",4803902,4804452,"-","H37Rv",594
"299",4804452,4805002,"+","H37Rv",595
"8320",4804452,4805002,"-","H37Rv",596
"300",4805002,4805552,"+","H37Rv",597
"8321",4805002,4805552,"-","H37Rv",598
"301",4805552,4806102,"+","H37Rv",599
"8322",4805552,4806102,"-","H37Rv",600
"302",4806102,4806652,"+","H37Rv",601
"8323",4806102,4806652,"-","H37Rv",602
"303",4806652,4807202,"+","H37Rv",603
"8324",4806652,4807202,"-","H37Rv",604
"304",4807202,4807752,"+","H37Rv",605
"8325",4807202,4807752,"-","H37Rv",606
"305",4807752,4808302,"+","H37Rv",607
"8326",4807752,4808302,"-","H37Rv",608
"306",4808302,4808852,"+","H37Rv",609
"8327",4808302,4808852,"-","H37Rv",610
"307",4808852,4809402,"+","H37Rv",611
"8328",4808852,4809402,"-","H37Rv",612
"308",4809402,4809952,"+","H37Rv",613
"8329",4809402,4809952,"-","H37Rv",614
"309",4809952,4810502,"+","H37Rv",615
"8330",4809952,4810502,"-","H37Rv",616
"310",4810502,4811052,"+","H37Rv",617
"8331",4810502,4811052,"-","H37Rv",618
"311",4811052,4811602,"+","H37Rv",619
"8332",4811052,4811602,"-","H37Rv",620
