Table S2: Data for individual TA sites in the M. tuberculosis H37Rv genome (NC_018143.1).,,,,,,,,,,,,,
Coordinate,Matches Non Permissive Motif,Num. of Datasets with Insertions,Sum of Normalized Read Counts,Mean Normalized Read Count Among Replicates With Insertions,Low Coverage Site,ORF ID,tRNA,rRNA,DNA-Methylation-Site,TRIT-Site,5pUTR,Promoter,Essentiality State
1345,,0,0,0,TRUE,Rv0001,,,,,,,ES
1423,,0,0,0,TRUE,Rv0001,,,,,,,ES
1522,,8,2338.4,292.3,,Rv0001,,,,,,,NE
1552,,4,222.6,55.7,,,,,,,,,NE
1635,,14,14219.3,1015.7,,,,,,,,,NE
1779,,0,0,0,,,,,,,,PROM-1432,NE
1782,,1,6.7,6.7,,,,,,,,PROM-1432,NE
1788,,1,4.4,4.4,,,,,,,,PROM-1432,NE
1847,,7,919.3,131.3,,,,,,,5pUTR-Rv0002_2,PROM-1432,NE
1858,,9,1663,184.8,,,,,,,5pUTR-Rv0002_2,PROM-1432,NE
1921,,13,2915,224.2,,,,,,,5pUTR-Rv0002_2,"PROM-1101,PROM-1512",NE
2001,TRUE,3,141.1,47,TRUE,,,,,,"5pUTR-Rv0002,5pUTR-Rv0002_2,5pUTR-Rv0002_3",PROM-1101,NE
2012,TRUE,1,47.2,47.2,TRUE,,,,,,"5pUTR-Rv0002,5pUTR-Rv0002_2,5pUTR-Rv0002_3",,NE
2063,,0,0,0,TRUE,Rv0002,,,,,,,ES
2104,,0,0,0,TRUE,Rv0002,,,,,,,ES
2141,,0,0,0,TRUE,Rv0002,,,,,,,ES
2232,,1,7.7,7.7,TRUE,Rv0002,,,,,,,ES
2290,,0,0,0,TRUE,Rv0002,,,,,,,ES
2315,,0,0,0,TRUE,Rv0002,,,,,,,ES
2318,,0,0,0,TRUE,Rv0002,,,,,,,ES
2333,,0,0,0,TRUE,Rv0002,,,,,,,ES
2344,,0,0,0,TRUE,Rv0002,,,,,,,ES
2363,,0,0,0,TRUE,Rv0002,,,,,,,ES
2387,TRUE,0,0,0,TRUE,Rv0002,,,,,,,ES
2404,TRUE,0,0,0,TRUE,Rv0002,,,,,,,ES
2427,,0,0,0,TRUE,Rv0002,,,,,,,ES
2479,,0,0,0,TRUE,Rv0002,,,,,,,ES
2507,TRUE,0,0,0,TRUE,Rv0002,,,,,,,ES
2537,,0,0,0,TRUE,Rv0002,,,,,,,ES
2591,TRUE,0,0,0,TRUE,Rv0002,,,,,,,ES
2648,,0,0,0,TRUE,Rv0002,,,,,,,ES
2738,,0,0,0,TRUE,Rv0002,,,,,,,ES
2774,,0,0,0,TRUE,Rv0002,,,,,,,ES
2845,,0,0,0,TRUE,Rv0002,,,,,,,ES
2920,,0,0,0,TRUE,Rv0002,,,,,,,ES
3027,,0,0,0,TRUE,Rv0002,,,,,,,ES
3056,,0,0,0,TRUE,Rv0002,,,,,,,ES
3066,,1,8.4,8.4,TRUE,Rv0002,,,,,,,ES
3070,,1,8.4,8.4,TRUE,Rv0002,,,,,,,ES
3119,,0,0,0,TRUE,Rv0002,,,,,,,ES
3131,,0,0,0,TRUE,Rv0002,,,,,,,ES
3145,,0,0,0,TRUE,Rv0002,,,,,,,ES
3222,,0,0,0,TRUE,Rv0002,,,,,,,ES
3228,,0,0,0,TRUE,Rv0002,,,,,,,ES
3277,,2,46.8,23.4,TRUE,,,,,,,,NE
3283,,14,2636.6,188.3,,Rv0003,,,,,,,NE
3329,,14,1947.4,139.1,,Rv0003,,,,,,,NE
3372,,1,10,10,TRUE,Rv0003,,,,,,,NE
3379,,0,0,0,TRUE,Rv0003,,,,,,,NE
3384,,0,0,0,TRUE,Rv0003,,,,,,,NE
3396,,2,220.2,110.1,TRUE,Rv0003,,,,,,,NE
3412,,0,0,0,TRUE,Rv0003,,,,,,,NE
3425,,1,6.9,6.9,TRUE,Rv0003,,,,,,,NE
3441,TRUE,0,0,0,TRUE,Rv0003,,,,,,,NE
3467,,3,69.8,23.3,TRUE,Rv0003,,,,,,,NE
3471,,4,175.3,43.8,TRUE,Rv0003,,,,,,,NE
3513,,4,139,34.7,TRUE,Rv0003,,,,,,,NE
3591,,12,836.2,69.7,,Rv0003,,,,,,,NE
3682,,7,419.4,59.9,,Rv0003,,,,,,,NE
3708,,13,1225,94.2,,Rv0003,,,,,,,NE
3728,,5,102.1,20.4,,Rv0003,,,,,,,NE
3739,,11,972.5,88.4,,Rv0003,,,,,,,NE
3770,,3,250.2,83.4,,Rv0003,,,,,,,NE
3782,,10,598.4,59.8,,Rv0003,,,,,,,NE
3796,TRUE,3,30.3,10.1,,Rv0003,,,,,,,NE
3833,,11,381.5,34.7,,Rv0003,,,,,,,NE
3925,,11,917.8,83.4,,Rv0003,,,,,,,NE
3960,,5,251.2,50.2,,Rv0003,,,,,,,NE
3967,TRUE,1,2.2,2.2,,Rv0003,,,,,,,NE
3986,,11,1005.8,91.4,,Rv0003,,,,,,,NE
4011,,9,280.3,31.1,,Rv0003,,,,,,,NE
4028,,8,224.6,28.1,,Rv0003,,,,,,,NE
4094,,9,652.5,72.5,,Rv0003,,,,,,,NE
4118,,11,757.7,68.9,,Rv0003,,,,,,,NE
4121,,13,529.2,40.7,,Rv0003,,,,,,,NE
4130,,6,90.9,15.1,TRUE,Rv0003,,,,,,,NE
4158,,1,26.8,26.8,TRUE,Rv0003,,,,,,,NE
4207,,7,199.6,28.5,TRUE,Rv0003,,,,,,,NE
4217,,8,308.8,38.6,TRUE,Rv0003,,,,,,,NE
4353,,8,205.9,25.7,TRUE,Rv0003,,,,,,,NE
4664,,0,0,0,TRUE,Rv0004,,,,,,,NE
4721,,0,0,0,TRUE,Rv0004,,,,,,,NE
4789,,0,0,0,TRUE,Rv0004,,,,,,,NE
4912,,0,0,0,TRUE,Rv0004,,,,,,,NE
4961,,7,324,46.3,TRUE,Rv0004,,,,,,,NE
4970,,0,0,0,TRUE,Rv0004,,,,,,,NE
4989,,12,1953.7,162.8,,Rv0004,,,,,,,NE
4995,,14,4156,296.9,,Rv0004,,,,,,,NE
5066,,11,1167.4,106.1,,,,,,,,,NE
5120,,14,1999.6,142.8,,,,,,,,,NE
5128,,6,595.6,99.3,,,,,,,,,NE
5170,,14,2371.3,169.4,,,,,DNAMethylation-1,,,,NE
5230,,0,0,0,TRUE,,,,DNAMethylation-2,,,,ES
5273,,0,0,0,TRUE,Rv0005,,,,,,,ES
5287,,0,0,0,TRUE,Rv0005,,,,,,,ES
5336,,0,0,0,TRUE,Rv0005,,,,,,,ES
5364,,0,0,0,TRUE,Rv0005,,,,,,,ES
5420,,0,0,0,TRUE,Rv0005,,,,,,,ES
5439,,0,0,0,TRUE,Rv0005,,,,,,,ES
5517,,0,0,0,TRUE,Rv0005,,,,,,,ES
5547,,0,0,0,TRUE,Rv0005,,,,,,,ES
5579,,0,0,0,TRUE,Rv0005,,,,,,,ES
5586,,0,0,0,TRUE,Rv0005,,,,,,,ES
5623,TRUE,0,0,0,TRUE,Rv0005,,,,,,,ES
5631,TRUE,0,0,0,TRUE,Rv0005,,,,,,,ES
5669,,0,0,0,TRUE,Rv0005,,,,,,,ES
5687,,0,0,0,TRUE,Rv0005,,,,,,,ES
5792,,0,0,0,TRUE,Rv0005,,,,,,,ES
5977,,0,0,0,TRUE,Rv0005,,,,,,,ES
5996,,0,0,0,TRUE,Rv0005,,,,,,,ES
6055,,0,0,0,TRUE,Rv0005,,,,,,,ES
6128,,0,0,0,TRUE,Rv0005,,,,,,,ES
6230,,0,0,0,TRUE,Rv0005,,,,,,,ES
6249,,0,0,0,TRUE,Rv0005,,,,,,,ES
6286,TRUE,0,0,0,TRUE,Rv0005,,,,,,,ES
6403,,0,0,0,TRUE,Rv0005,,,,,,,ES
6490,,0,0,0,TRUE,Rv0005,,,,,,,ES
6502,,0,0,0,TRUE,Rv0005,,,,,,,ES
6526,,0,0,0,TRUE,Rv0005,,,,,,,ES
6605,,0,0,0,TRUE,Rv0005,,,,,,,ES
6612,,0,0,0,TRUE,Rv0005,,,,,,,ES
6672,,0,0,0,TRUE,Rv0005,,,,,,,ES
6729,,0,0,0,TRUE,Rv0005,,,,,,,ES
6793,TRUE,0,0,0,TRUE,Rv0005,,,,,,,ES
6809,,0,0,0,TRUE,Rv0005,,,,,,,ES
6856,,0,0,0,TRUE,Rv0005,,,,,,,ES
6944,,0,0,0,TRUE,Rv0005,,,,,,,ES
6983,,0,0,0,TRUE,Rv0005,,,,,,,ES
7067,,0,0,0,TRUE,Rv0005,,,,,,,ES
7077,,0,0,0,TRUE,Rv0005,,,,,,,ES
7093,,0,0,0,TRUE,Rv0005,,,,,,,ES
7225,,0,0,0,TRUE,Rv0005,,,,,,,ES
7265,,6,391.3,65.2,,Rv0005,,,,,,,NE
7299,,13,2430.9,187,,,,,,,,,NE
7383,,0,0,0,TRUE,Rv0006,,,,,,,ES
7392,,0,0,0,TRUE,Rv0006,,,,,,,ES
7470,,0,0,0,TRUE,Rv0006,,,,,,,ES
7551,,0,0,0,TRUE,Rv0006,,,,,,,ES
7578,,0,0,0,TRUE,Rv0006,,,,,,,ES
7620,TRUE,0,0,0,TRUE,Rv0006,,,,,,,ES
7686,,0,0,0,TRUE,Rv0006,,,,,,,ES
7763,,0,0,0,TRUE,Rv0006,,,,,,,ES
7767,,0,0,0,TRUE,Rv0006,,,,,,,ES
7798,,0,0,0,TRUE,Rv0006,,,,,,,ES
7865,,0,0,0,TRUE,Rv0006,,,,,,,ES
7970,,0,0,0,TRUE,Rv0006,,,,,,,ES
8031,,0,0,0,TRUE,Rv0006,,,,,,,ES
8077,,0,0,0,TRUE,Rv0006,,,,,,,ES
8099,,0,0,0,TRUE,Rv0006,,,,,,,ES
8127,,1,16.9,16.9,TRUE,Rv0006,,,,,,,ES
8219,,0,0,0,TRUE,Rv0006,,,,,,,ES
8236,,0,0,0,TRUE,Rv0006,,,,,,,ES
8288,,0,0,0,TRUE,Rv0006,,,,,,,ES
8295,,1,6.9,6.9,TRUE,Rv0006,,,,,,,ES
8338,,0,0,0,TRUE,Rv0006,,,,,,,ES
8391,,0,0,0,TRUE,Rv0006,,,,,,,ES
8394,,0,0,0,TRUE,Rv0006,,,,,,,ES
8436,,0,0,0,TRUE,Rv0006,,,,,,,ES
8486,,0,0,0,TRUE,Rv0006,,,,,,,ES
8546,TRUE,0,0,0,TRUE,Rv0006,,,,,,,ES
8786,,0,0,0,TRUE,Rv0006,,,DNAMethylation-3,,,,ES
8858,,0,0,0,TRUE,Rv0006,,,,,,,ES
8874,,0,0,0,TRUE,Rv0006,,,,,,,ES
8901,,0,0,0,TRUE,Rv0006,,,,,,,ES
9030,,0,0,0,TRUE,Rv0006,,,,,,,ES
9045,,0,0,0,TRUE,Rv0006,,,,,,,ES
9100,,2,12.7,6.4,TRUE,Rv0006,,,,,,,ES
9150,,0,0,0,TRUE,Rv0006,,,,,,,ES
9165,,0,0,0,TRUE,Rv0006,,,,,,,ES
9419,,0,0,0,TRUE,Rv0006,,,,,,,ES
9465,,0,0,0,TRUE,Rv0006,,,,,,,ES
9492,,0,0,0,TRUE,Rv0006,,,,,,,ES
9503,,0,0,0,TRUE,Rv0006,,,DNAMethylation-4,,,,ES
9519,,1,7.7,7.7,TRUE,Rv0006,,,,,,,ES
9526,,0,0,0,TRUE,Rv0006,,,,,,,ES
9542,,0,0,0,TRUE,Rv0006,,,,,,,ES
9564,,0,0,0,TRUE,Rv0006,,,,,,,ES
9624,,0,0,0,TRUE,Rv0006,,,,,,,ES
9776,,5,179.9,36,TRUE,Rv0006,,,,,,,NE
9816,,12,1459.8,121.6,,Rv0006,,,,,,,NE
9850,,4,111,27.7,,,,,,,,,NE
9877,,14,4111.4,293.7,,,,,,,,,NE
9894,,10,522,52.2,,,,,,,,,NE
9903,,14,3132.4,223.7,,,,,,,,,NE
10023,,14,2059.9,147.1,,Rv0007,,,,,,,NE
10104,,6,806.3,134.4,,Rv0007,,,,,,,NE
10277,,14,6282.1,448.7,,Rv0007,,,,,,,NE
10299,,12,1122.8,93.6,,Rv0007,,,,,,,NE
10414,,7,375.5,53.6,,Rv0007,,,,,,,NE
10426,,13,3254.5,250.3,,Rv0007,,,,,,,NE
10583,,13,3607.8,277.5,,Rv0007,,,,,,,NE
10600,,5,570.5,114.1,,Rv0007,,,,,,,NE
10608,,14,2334.3,166.7,,Rv0007,,,,,,,NE
10769,,12,5416.8,451.4,,Rv0007,,,,,,,NE
10826,,12,1315.4,109.6,,Rv0007,,,,,,,NE
10857,,0,0,0,TRUE,,,,,,,,ES
10876,,0,0,0,TRUE,,,,,,,,ES
10884,,0,0,0,TRUE,,,,,,,,ES
10892,,1,8.4,8.4,TRUE,,Rvnt01,,,,,,ES
10894,,1,7.1,7.1,TRUE,,Rvnt01,,,,,,ES
10907,,0,0,0,TRUE,,Rvnt01,,,,,,ES
10923,,0,0,0,TRUE,,Rvnt01,,,,,,ES
10953,,0,0,0,TRUE,,Rvnt01,,,,,,ES
11096,,14,2259.8,161.4,,,,,,,,,NE
11119,,0,0,0,,,Rvnt02,,,,,,NE
11131,,0,0,0,,,Rvnt02,,,,,,NE
11176,,0,0,0,,,Rvnt02,,,,,,NE
11198,,14,2664.1,190.3,,,,,,,,,NE
11207,,13,1939.6,149.2,,,,,,,,,NE
11289,,14,3664.1,261.7,,,,,,,,,NE
11301,TRUE,0,0,0,,,,,,,,,NE
11422,,14,4513.4,322.4,,,,,,,,,NE
11444,TRUE,3,207.8,69.3,,,,,,,,,NE
11530,,14,3352.6,239.5,,,,,,,,,NE
11556,,14,2199.5,157.1,,,,,,,,,NE
11618,,13,1497.9,115.2,,,,,,,,,NE
11659,,6,469.4,78.2,,,,,,,,,NE
11675,,14,7093.8,506.7,,,,,,,,,NE
11679,,14,5593.3,399.5,,,,,,,,,NE
11733,,14,2410.6,172.2,,,,,,,,,NE
11739,,14,1636.2,116.9,,,,,,,,,NE
11743,,14,6191,442.2,,,,,,,,,NE
11749,,1,3.3,3.3,,,,,,,,,NE
11787,,14,1747.4,124.8,,,,,,,,,NE
11848,,4,166.6,41.6,,,,,,,,,NE
12042,,10,697.8,69.8,,Rv0008c,,,,,,PROM-602,NE
12054,,12,1046.2,87.2,,Rv0008c,,,,,,PROM-602,NE
12145,TRUE,1,10,10,,Rv0008c,,,,,5pUTR-Rv0009,,NE
12250,,14,3470.4,247.9,,Rv0008c,,,,,5pUTR-Rv0009,,NE
12352,,14,3864.2,276,,,,,,,"5pUTR-Rv0009,5pUTR-Rv0008c",PROM-1521,NE
12466,,8,601.6,75.2,,,,,,,5pUTR-Rv0009,,NE
12491,,11,1599.5,145.4,,Rv0009,,,,,,,NE
12512,TRUE,0,0,0,,Rv0009,,,,,,,NE
12530,,14,630.3,45,,Rv0009,,,,,,,NE
12621,,14,5209.2,372.1,,Rv0009,,,,,,,NE
12663,,11,1785.8,162.3,,Rv0009,,,,,,,NE
12750,,13,762.1,58.6,,Rv0009,,,,,,,NE
12798,,14,4569.8,326.4,,Rv0009,,,,,,,NE
13025,,14,4700.5,335.7,,,,,,,,,NE
13046,,14,3671.7,262.3,,,,,,,,,NE
13079,,14,1755.4,125.4,,,,,,,,,NE
13155,,7,432.6,61.8,,Rv0010c,,,,,,,NE
13168,,12,1993.4,166.1,,Rv0010c,,,,,,,NE
13275,,4,85.3,21.3,,Rv0010c,,,,,,,NE
13309,,11,1482.7,134.8,,Rv0010c,,,,,,,NE
13322,,14,2719.4,194.2,,Rv0010c,,,,,,,NE
13325,,14,4258.4,304.2,,Rv0010c,,,,,,,NE
13369,,14,2360.6,168.6,,Rv0010c,,,,,,,NE
13459,,1,34.6,34.6,,Rv0010c,,,,,,,NE
13469,,0,0,0,,Rv0010c,,,,,,,NE
13486,,7,2342.8,334.7,,Rv0010c,,,,,,,NE
13560,,7,655.6,93.7,,,,,,,,,NE
13567,,10,282.1,28.2,,,,,,,,,NE
13595,,3,126.2,42.1,,,,,,,,,NE
13608,,5,54.6,10.9,,,,,,,,,NE
13669,,9,722.1,80.2,,,,,,,,,NE
13686,,2,9.7,4.8,,,,,,,,,NE
13699,,1,41.5,41.5,,,,,,,,,NE
13772,,7,134.5,19.2,,Rv0011c,,,,,,,NE
13852,,2,6.5,3.3,,Rv0011c,,,,,,,NE
13903,,11,274.5,25,,Rv0011c,,,,,,,NE
14021,,13,1087.6,83.7,,,,,,,5pUTR-Rv0011c,"PROM-803,PROM-1332",NE
14059,,13,1977.4,152.1,,,,,,,5pUTR-Rv0011c,"PROM-803,PROM-1332",NE
14080,,14,3077.8,219.8,,,,,,,"5pUTR-Rv0012,5pUTR-Rv0011c","PROM-803,PROM-1332",NE
14088,,14,2306.1,164.7,,,,,,,5pUTR-Rv0012,"PROM-803,PROM-1332",NE
14096,,13,1698.2,130.6,,Rv0012,,,,,,"PROM-803,PROM-1332",NE
14177,,13,2184.5,168,,Rv0012,,,,,,,NE
14367,TRUE,2,8.9,4.4,,Rv0012,,,,,,,NE
14421,,7,1343.5,191.9,,Rv0012,,,,,,,NE
14454,TRUE,6,160.9,26.8,,Rv0012,,,,,,,NE
14621,,11,2427.4,220.7,,Rv0012,,,,,,,NE
14661,,14,2627.7,187.7,,Rv0012,,,,,,,NE
14665,,14,7202.6,514.5,,Rv0012,,,,,,,NE
14667,,9,585.4,65,,Rv0012,,,,,,,NE
14677,,7,241.9,34.6,,Rv0012,,,,,,,NE
14749,,13,9158.2,704.5,,Rv0012,,,,,,,NE
14758,,14,2904.6,207.5,,Rv0012,,,,,,,NE
14782,TRUE,2,8,4,,Rv0012,,,,,,,NE
14813,,12,1145.1,95.4,,Rv0012,,,,,,,NE
14821,,8,251.6,31.4,,Rv0012,,,,,,,NE
14872,,7,575.9,82.3,,Rv0012,,,,,,PROM-2048,NE
14902,TRUE,9,568.3,63.1,,,,,,,,PROM-2048,NE
14938,,0,0,0,TRUE,Rv0013,,,,,,PROM-2048,ES
14968,,0,0,0,TRUE,Rv0013,,,,,,PROM-2048,ES
15023,TRUE,0,0,0,TRUE,Rv0013,,,,,,,ES
15084,TRUE,0,0,0,TRUE,Rv0013,,,,,,,ES
15114,,0,0,0,TRUE,Rv0013,,,,,,,ES
15221,,0,0,0,TRUE,Rv0013,,,,,,,ES
15245,,0,0,0,TRUE,Rv0013,,,,,,,ES
15269,,0,0,0,TRUE,Rv0013,,,,,,,ES
15304,,0,0,0,TRUE,Rv0013,,,,,,,ES
15327,,0,0,0,TRUE,Rv0013,,,,,,,ES
15366,,0,0,0,TRUE,Rv0013,,,,,,,ES
15464,,0,0,0,TRUE,Rv0013,,,,,,,ES
15515,,10,92,9.2,TRUE,Rv0013,,,,,,,NE
15576,TRUE,0,0,0,TRUE,Rv0013,,,,,,,NE
15591,,10,3555.6,355.6,,"Rv0013,Rv0014c",,,,,,,NE
15657,,0,0,0,TRUE,Rv0014c,,,,,,,ES
15773,,0,0,0,TRUE,Rv0014c,,,,,,,ES
15812,,0,0,0,TRUE,Rv0014c,,,,,,,ES
15927,,0,0,0,TRUE,Rv0014c,,,,,,,ES
16161,,1,7.7,7.7,TRUE,Rv0014c,,,,,,,ES
16184,,0,0,0,TRUE,Rv0014c,,,,,,,ES
16273,TRUE,0,0,0,TRUE,Rv0014c,,,,,,,ES
16433,,0,0,0,TRUE,Rv0014c,,,,,,,ES
16520,,0,0,0,TRUE,Rv0014c,,,,,,,ES
16535,,0,0,0,TRUE,Rv0014c,,,,,,,ES
16558,,0,0,0,TRUE,Rv0014c,,,,,,,ES
16683,,0,0,0,TRUE,Rv0014c,,,,,,,ES
16794,,0,0,0,TRUE,Rv0014c,,,,,,,ES
16851,,0,0,0,TRUE,Rv0014c,,,,,,,ES
16872,,0,0,0,TRUE,Rv0014c,,,,,,,ES
16926,,0,0,0,TRUE,Rv0014c,,,,,,,ES
17015,,0,0,0,TRUE,Rv0014c,,,,,,,ES
17176,TRUE,1,1,1,TRUE,Rv0014c,,,,,,,ES
17190,,1,8.4,8.4,TRUE,Rv0014c,,,,,,,ES
17205,,0,0,0,TRUE,Rv0014c,,,,,,,ES
17247,,0,0,0,TRUE,Rv0014c,,,,,,,ES
17313,,0,0,0,TRUE,Rv0014c,,,,,,,ES
17333,,0,0,0,TRUE,Rv0014c,,,,,,,ES
17439,,0,0,0,TRUE,Rv0014c,,,,,,,ES
17476,,5,383.8,76.8,TRUE,Rv0015c,,,,,5pUTR-Rv0014c,PROM-801,NE
17483,,3,32.5,10.8,TRUE,Rv0015c,,,,,5pUTR-Rv0014c,PROM-801,NE
17586,,9,573.2,63.7,TRUE,Rv0015c,,,,,,,NE
17862,,0,0,0,TRUE,Rv0015c,,,,,,,ES
17981,TRUE,0,0,0,TRUE,Rv0015c,,,,,,,ES
18010,,0,0,0,TRUE,Rv0015c,,,,,,,ES
18123,,0,0,0,TRUE,Rv0015c,,,,,,,ES
18140,,0,0,0,TRUE,Rv0015c,,,,,,,ES
18161,,0,0,0,TRUE,Rv0015c,,,,,,,ES
18215,,0,0,0,TRUE,Rv0015c,,,,,,,ES
18454,,0,0,0,TRUE,Rv0015c,,,,,,,ES
18488,,0,0,0,TRUE,Rv0015c,,,,,,,ES
18527,,0,0,0,TRUE,Rv0015c,,,,,,,ES
18666,TRUE,2,8,4,TRUE,Rv0015c,,,,,,,ES
18693,,0,0,0,TRUE,Rv0015c,,,,,,,ES
18725,,0,0,0,TRUE,Rv0015c,,,,,,,ES
18907,,1,1.7,1.7,TRUE,Rv0016c,,,,,5pUTR-Rv0015c,,ES
19038,,10,334,33.4,TRUE,Rv0016c,,,,,5pUTR-Rv0015c,,NE
19043,,5,124.9,25,TRUE,Rv0016c,,,,,5pUTR-Rv0015c,,NE
19081,,2,24.4,12.2,TRUE,Rv0016c,,,,,5pUTR-Rv0015c,,NE
19100,,8,119.4,14.9,TRUE,Rv0016c,,,,,5pUTR-Rv0015c,,NE
19107,,10,181.9,18.2,TRUE,Rv0016c,,,,,5pUTR-Rv0015c,,NE
19134,,7,104.9,15,TRUE,Rv0016c,,,,,5pUTR-Rv0015c,,NE
19138,,14,801.1,57.2,TRUE,Rv0016c,,,,,5pUTR-Rv0015c,,NE
19151,,13,678.1,52.2,TRUE,Rv0016c,,,,,5pUTR-Rv0015c,PROM-1077,NE
19179,,1,2.2,2.2,TRUE,Rv0016c,,,,,5pUTR-Rv0015c,PROM-1077,NE
19194,TRUE,1,2.2,2.2,TRUE,Rv0016c,,,,,5pUTR-Rv0015c,PROM-1077,NE
19226,,4,26.1,6.5,TRUE,Rv0016c,,,,,,PROM-1077,NE
19239,,3,42.1,14,TRUE,Rv0016c,,,,,,PROM-1077,NE
19259,,4,238.6,59.6,TRUE,Rv0016c,,,,,,PROM-1077,NE
19310,TRUE,4,140.1,35,TRUE,Rv0016c,,,,,,,NE
19453,,12,578,48.2,,Rv0016c,,,,,,,NE
19461,,8,365.8,45.7,,Rv0016c,,,,,,,NE
19582,,14,2820.3,201.5,,Rv0016c,,,,,,,NE
19667,,8,278.9,34.9,,Rv0016c,,,,,,,NE
19693,,12,727.9,60.7,,Rv0016c,,,,,,,NE
19760,,12,499.5,41.6,,Rv0016c,,,,,,,NE
19771,,9,177.3,19.7,,Rv0016c,,,,,,,NE
19829,,9,138.3,15.4,,Rv0016c,,,,,,,NE
19838,,10,197.3,19.7,,Rv0016c,,,,,,,NE
19914,,6,52.5,8.7,,Rv0016c,,,,,,,NE
19935,,11,586,53.3,,Rv0016c,,,,,,,NE
19951,,9,284.6,31.6,,Rv0016c,,,,,,,NE
19963,,11,909.2,82.7,,Rv0016c,,,,,,,NE
19973,TRUE,0,0,0,,Rv0016c,,,,,,,NE
19984,,13,1104.9,85,,Rv0016c,,,,,,,NE
20002,,7,176.1,25.2,,Rv0016c,,,,,,,NE
20037,TRUE,0,0,0,,Rv0016c,,,,,,,NE
20044,,11,530.9,48.3,,Rv0016c,,,,,,,NE
20092,,13,1127.3,86.7,,Rv0016c,,,,,,,NE
20178,,12,1629.3,135.8,,Rv0016c,,,,,,,NE
20211,,8,621.8,77.7,,Rv0016c,,,,,,,NE
20234,,13,1919.2,147.6,,"Rv0016c,Rv0017c",,,,,,,NE
20266,,5,47.8,9.6,,Rv0017c,,,,,,,NE
20278,,14,3184.5,227.5,,Rv0017c,,,,,,,NE
20345,,14,4517.8,322.7,,Rv0017c,,,,,,,NE
20349,,14,2640.1,188.6,,Rv0017c,,,,,,,NE
20376,,12,1067,88.9,,Rv0017c,,,,,,,NE
20456,TRUE,6,135.5,22.6,,Rv0017c,,,,,,,NE
20497,,9,440.5,48.9,,Rv0017c,,,,,,,NE
20547,,14,3178.1,227,,Rv0017c,,,,,,,NE
20650,,5,218.9,43.8,,Rv0017c,,,,,,,NE
20671,,13,1699.6,130.7,,Rv0017c,,,,,,,NE
20680,,10,360.2,36,,Rv0017c,,,,,,,NE
20712,,5,169.4,33.9,,Rv0017c,,,,,,,NE
20756,,7,238,34,,Rv0017c,,,,,,,NE
20787,,14,1142.8,81.6,,Rv0017c,,,,,,,NE
20859,,13,1025.8,78.9,,Rv0017c,,,,,,,NE
20883,,14,2673.1,190.9,,Rv0017c,,,,,,,NE
21041,,1,23.1,23.1,,Rv0017c,,,,,,,NE
21204,,3,331.6,110.5,,Rv0017c,,,,,,,NE
21210,,5,560.2,112,,Rv0017c,,,,,,,NE
21266,,13,1552.8,119.4,,Rv0017c,,,,,,,NE
21359,,12,929.5,77.5,,Rv0017c,,,,,,,NE
21414,,12,894.1,74.5,,Rv0017c,,,,,,,NE
21477,,14,2017.4,144.1,,Rv0017c,,,,,,,NE
21481,,14,1632.4,116.6,,Rv0017c,,,,,,,NE
21548,,7,357.3,51,,Rv0017c,,,,,,,NE
